a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,albedo,moid,class,n,per,ma
2.772465921978979,0.2303368211958249,34.8362344173523,173.0800627473217,310.0488574270735,2.133864934636589,3.41106690932137,4.61644352793619,72318,0,8490,4.13,545,0.101,1.23324,MBA,0.2135033770917126,1686.155998578693,59.69913274585711
2.669149516961171,0.2569423201751032,12.98891912630602,169.8527598113392,248.1386261811234,1.983332047178912,3.354966986743431,4.36081392268951,72684,0,7104,5.33,246.596,0.214,1.03454,MBA,0.2260188810715582,1592.787285262345,34.92501590589657
2.361417895877277,0.08872145950956178,7.141770811873426,103.810804427096,150.7285412870121,2.151909453643047,2.570926338111508,3.62883713822373,24288,0,9325,3.2,525.4,0.4228,1.13948,MBA,0.2716094015313151,1325.432764736216,95.86193620017683
2.644100304490733,0.1860843620330185,11.75242982472844,292.9343386609643,98.49868083964806,2.152074586178265,3.136126022803201,4.29957066894305,61247,0,2501,5.28,231.689,0.248,1.19485,MBA,0.2292383029047525,1570.418186831449,283.3876976906251
2.914849073772346,0.09767688894721703,13.71531190288359,66.05277031409484,356.0820815376883,2.630135684495586,3.199562463049106,4.97659514072536,60459,0,2977,6.45,167.536,0.166,1.64321,MBA,0.1980523340751197,1817.701375149938,196.5714329438891
2.625683427708691,0.2349839170984181,10.11425811491532,66.84681403363018,60.63681441400291,2.008690050805301,3.24267680461208,4.25472746636204,59343,0,2213,6.95,107.53,0.2536,1.04633,MBA,0.2316543870694277,1554.039207088734,335.8201924623511
2.554113562629857,0.0726955355107702,6.082523343833398,356.3417672264347,63.36324048192493,2.368440909439159,2.739786215820556,4.08195776735358,59923,0,2318,5.85,189.559,0.216,1.3871,MBA,0.2414592064744852,1490.935074525895,284.235314522542
2.873455536087202,0.3313462799924216,1.85284269455425,8.466368785624004,338.3718415619637,1.921346733481078,3.825564338693325,4.87096404816433,59810,0,2958,8.55,52.929,0.24,0.913808,MBA,0.2023472712222131,1779.119618592021,342.0155730423168
2.994071834843048,0.2255881575743941,7.93271346132059,353.7389429763603,213.3967294408263,2.31864468597542,3.669498983710677,5.18085605590327,58307,0,3276,8.5,103.055,0.066,1.31998,MBA,0.1902439042375046,1892.307674418668,215.2502401397791
2.746824002547545,0.3049059798985477,18.36926332492746,358.2100324656188,47.7965328841623,1.909300938441935,3.584347066653156,4.55254715472319,56148,0,1777,8.46,115.204,0.036,0.959267,MBA,0.2164999614215934,1662.817848262647,299.7290349930391
3.105045614871076,0.2220670204343255,3.195214934385568,285.0858073936042,112.2986914078243,2.415517386863988,3.794573842878165,5.47154756734509,56952,0,2759,7.8,166.252,0.048,1.42463,MBA,0.1801366562633764,1998.482748972795,240.6294351215798
2.616773602009664,0.2055675539671132,5.171236716881636,143.5538596316308,313.2761609069267,2.078849853358825,3.154697350660503,4.23308926992857,56110,0,2828,8.81,90.893,0.031,1.09974,MBA,0.2328385300941663,1546.135855841411,64.33644621039768
3.151209171387807,0.1134668535347681,15.2150901910628,199.2006563972965,210.7687811129155,2.793651381880529,3.508766960895085,5.59402045337933,58312,0,2607,7.03,112.59,0.2149,1.81222,MBA,0.1761928279636774,2043.215970596799,143.0886516450336
2.446712333988616,0.1899614085030926,4.613126624235388,206.5830788386983,201.1851876031686,1.981931412822249,2.911493255154982,3.82721243623421,57004,0,2700,7.96,63.479,0.287,0.99198,MBA,0.2575311143003508,1397.889342334545,228.7198473016684
2.36248979041079,0.2358436942418884,9.3153473897677,327.5144105275068,15.15479519616707,1.805311470631564,2.919668110190015,3.63130822057941,56142,0,2400,9.32,79.16,0.0527,0.797648,MBA,0.2714245730455481,1326.335327566631,107.3105593270039
3.482566200923838,0.0930632455241293,10.87710615533188,73.04534320532564,263.5579675314772,3.158467287513229,3.806665114334447,6.49916066786459,45653,0,3506,6.94,253.051,0.046,2.17369,OMB,0.1516543956577398,2373.81843393754,92.81711224841432
3.065326792033578,0.1525872372097024,12.99536706109092,243.0265829157397,153.928284555276,2.597597045692294,3.533056538374861,5.36689840161457,53556,0,2367,8,147.969,0.058,1.61219,MBA,0.1836491413869588,1960.25964118972,74.07274849032696
3.49153854580527,0.06537689732547856,9.999894973698757,172.5968054343793,306.5943565118038,3.263272588788208,3.719804502822332,6.52429310617739,55116,0,3127,7.08,254,0.059,2.29158,OMB,0.1510702029058652,2382.998057031293,326.4964761419486
2.433981119571712,0.1277009865079745,2.599052385435496,323.414411519972,17.30026514721153,2.12315932946062,2.744802909682803,3.79737957290287,54461,0,3069,9.84,69.818,0.042,1.11377,MBA,0.2595543227758253,1386.992889002772,68.94295123798346
2.678568836059156,0.1353613010496481,4.9357712741025654,164.2032996871053,352.5416493774344,2.315994273459147,3.041143398659166,4.38391797611939,42786,0,2440,8.26,94.178,0.089,1.32601,MBA,0.2248277200295669,1601.226040777608,61.60644343784044
2.286339425807574,0.08521459441678242,9.579215943406206,186.4549294902053,132.8848725862256,2.091509938938282,2.481168912676865,3.45715825589453,51977,0,2580,9.69,36.893,0.201,1.09158,MBA,0.2850972418422102,1262.727052965477,216.9039411468265
2.743253007587552,0.2086987721147374,14.1955451781459,148.1742253969049,228.8737410161656,2.17073947330397,3.315766541871135,4.54367226610487,51418,0,2578,7.66,125.821,0.096,1.19637,MBA,0.2169228381017232,1659.576295194804,34.07022549260398
2.615394837262503,0.2383234054176739,18.50864899231855,159.3029087660166,163.0771463938211,1.9920850331343,3.238704641390706,4.22974412074101,51340,0,2759,7.68,161.667,0.057,0.985887,MBA,0.2330226735311081,1544.914040100654,275.547407787116
